Academic Year|School Number|School Name|School Level|Elementary Male Enrolment|Elementary Female Enrolment|Secondary Male Enrolment|Secondary Female Enrolment|Total Male Enrolment|Total Female Enrolment
2018-2019|882408|3sixty Education|Secondary|||<10|<10|SP|SP
2018-2019|880655|A R S Armenian Private School|Elem/Sec|230|200|70|55|300|255
2018-2019|885186|A+ Academy of Advancement|Elem/Sec|<10|<10|25|30|SP|SP
2018-2019|668377|A+ Academy of Advancement - Mississauga|Elem/Sec||<10|<10||SP|SP
2018-2019|669367|A21 Academy|Elem/Sec|15|<10|25|<10|35|SP
2018-2019|877417|ABC Montessori Private School|Elementary|50|50|||50|50
2018-2019|884091|ACE Acumen High School|Secondary|||10|<10|10|SP
2018-2019|879231|AFNORTH International School|Secondary|||25|30|25|30
2018-2019|666320|AI-Manarat Heights|Elementary|70|55|||70|55
2018-2019|886708|AIM KW School|Elementary|20|15|||20|15
2018-2019|668692|AIS Elementary School (Aurora Internatio|Elementary|<10|<10|||SP|SP
2018-2019|669799|AIS School|Elementary|<10|10|||SP|10
2018-2019|882622|ALIF Canada|Elem/Sec|75|85|20|20|95|105
2018-2019|668910|ASK Online Canada|Secondary|||<10||SP|
2018-2019|667321|AVRO Academy|Secondary|||40|15|40|15
2018-2019|669111|Abacus Montessori & Private School|Elementary|10|10|||10|10
2018-2019|877808|Abelard Centre for Education, The|Elem/Sec|10||20|15|30|15
2018-2019|665161|Above and Beyond Learning Experience Inc|Elem/Sec|<10||<10|<10|SP|SP
2018-2019|878987|Abraar|Elem/Sec|40|25|25|15|65|40
2018-2019|889470|Abraar School - Elementary|Elementary|185|180|||185|180
2018-2019|886295|Abu Huraira Center Academy|Elementary|25|40|||25|40
2018-2019|883960|Abubakr Education Academy|Elementary|65|70|||65|70
2018-2019|668358|Acacia International High School|Secondary|||15|15|15|15
2018-2019|884149|Academia Stella Maris|Elementary|10|10|||10|10
2018-2019|876330|Academy for Gifted Children, The (PACE)|Elem/Sec|140|120|45|25|185|145
2018-2019|883027|Academy of Excellence|Secondary|||<10|10|SP|10
2018-2019|668763|Academy of Learning College|Elem/Sec|<10|<10|<10|<10|SP|SP
2018-2019|668977|Academy of Math and English|Secondary|||15|15|15|15
2018-2019|668797|Academy of New Echo Education|Elementary|10|15|||10|15
2018-2019|669883|Academy of Royal International Education|Secondary|||<10|<10|SP|SP
2018-2019|666548|Académie Providence Soeurs Antonines|Elementary|60|45|||60|45
2018-2019|876275|Académie Ste Cécile International|Elem/Sec|80|75|75|55|150|130
2018-2019|878731|Académie de la Capitale|Elem/Sec|30|20|<10|<10|SP|SP
2018-2019|668878|Ace Acumen Online School|Secondary|||<10|<10|SP|SP
2018-2019|884408|Acheron College (Beaver Creek/Fenbrook)|Secondary|||80||80|
2018-2019|880977|Acheron College (Collins Bay)|Secondary|||130||130|
2018-2019|669520|Acheron College (Grand Valley)|Elem/Sec|<10||<10|70|SP|70
2018-2019|881692|Acheron College (Joyceville/Pittsburgh)|Secondary|||135|<10|135|SP
2018-2019|667407|Acheron College (Millhaven/Bath)|Secondary|||165||165|
2018-2019|881407|Acheron College (Warkworth)|Secondary|||90||90|
2018-2019|877514|Adelfiha's Christian Academy|Elementary|10|<10|||10|SP
2018-2019|663832|Adults in Motion Private School|Secondary|||<10|15|SP|15
2018-2019|665717|Adventist Christian Elementary School|Elementary|15|10|||15|10
2018-2019|667455|Afzal Islamic Montessori & Academy|Elementary|<10|15|||SP|15
2018-2019|875546|Agate Private School|Elem/Sec|<10|<10|<10|<10|SP|SP
2018-2019|883230|Agincourt International Academy|Secondary|||60|35|60|35
2018-2019|878456|Agincourt Montessori School Inc|Elementary|<10|<10|||SP|SP
2018-2019|665991|Ahlul Bayt Islamic School|Elem/Sec|75|90|<10|<10|SP|SP
2018-2019|883477|Ahmadiyya Elementary School|Elementary|65|85|||65|85
2018-2019|882545|Aims High School|Elem/Sec|||<10|<10|SP|SP
2018-2019|877760|Al Azhar Islamic School|Elementary|25|40|||25|40
2018-2019|881297|Al Furqan School|Elementary|15|25|||15|25
2018-2019|883124|Al Haadi (9828770 Canada Institute)|Elementary|40|40|||40|40
2018-2019|669831|Al Huda Elementary School|Elementary|160|240|||160|240
2018-2019|884792|Al-Ameen Elementary School|Elementary|95|110|||95|110
2018-2019|887920|Al-Azhar Academy of Canada|Elementary|75|75|||75|75
2018-2019|878472|Al-Falah Islamic|Elementary|95|115|||95|115
2018-2019|667583|Al-Hidayah Academy Inc|Elem/Sec|35|15|||35|15
2018-2019|878090|Al-Hijra|Elementary|145|165|||145|165
2018-2019|886011|Al-Ikhlaas Foundation School|Elem/Sec|20|15|25|15|45|30
2018-2019|876585|Al-Iman School|Elementary|20|15|||20|15
2018-2019|876003|Al-Madrasah Al-Inamiyyah Private School|Secondary|||<10|<10|SP|SP
2018-2019|667350|Al-Qasim Academy|Elementary|15|<10|||15|SP
2018-2019|667550|Al-Rassool Islamic School|Elementary|<10|10|||SP|10
2018-2019|665670|Al-Risala Academy|Elem/Sec|50|55|45|40|95|95
2018-2019|669858|Al-Sadeq Academy|Elementary|25|35|||25|35
2018-2019|665037|Al-Taqwa Academy|Elem/Sec|85|65|25|25|110|90
2018-2019|669761|Alathena International Academy|Secondary|||45|25|45|25
2018-2019|884813|Alathena International Academy - Brimley|Secondary|||<10|<10|SP|SP
2018-2019|669020|Alathena International Academy - Elgin M|Secondary|||<10|<10|SP|SP
2018-2019|883349|Alathena International Academy - Finch W|Secondary|||<10|<10|SP|SP
2018-2019|884699|Alathena International Academy - Markham|Secondary|||35|30|35|30
2018-2019|884721|Alathena International Academy - Richmon|Secondary|||15|15|15|15
2018-2019|885126|Albert College|Elem/Sec|75|65|70|70|150|135
2018-2019|666998|Alborz Education Centre|Elem/Sec|<10|<10|75|40|SP|SP
2018-2019|669480|Alfajrul Bassem Academy|Elementary|<10|15|||SP|15
2018-2019|887189|Alive Christian Academy International|Elem/Sec|<10|<10|<10||SP|SP
2018-2019|883467|Alive Montessori & Private School|Elementary|<10|<10|||SP|SP
2018-2019|666085|Alliance Coaching Academy|Secondary|||20|15|20|15
2018-2019|881724|Alliston Community Christian School|Elementary|35|30|||35|30
2018-2019|882302|Alpha Quality Education Inc|Secondary|||25|25|25|25
2018-2019|668857|Alpha Star High School|Secondary|||15|<10|15|SP
2018-2019|882017|Amairah Private School (APS)|Elem/Sec|||10|15|10|15
2018-2019|882652|Amanah Academy North America Foundation|Elem/Sec|35|65|<10|20|SP|85
2018-2019|669258|Ambassadors Christian School|Elementary|<10|10|||SP|10
2018-2019|667063|Amberson College|Secondary|||35|20|35|20
2018-2019|884298|Amberson High School|Secondary|||45|30|45|30
2018-2019|887447|Amish Parochial School #1|Elementary|15|15|||15|15
2018-2019|887846|Amish Parochial School #2|Elementary|15|25|||15|25
2018-2019|887854|Amish Parochial School #3|Elementary|15|15|||15|15
2018-2019|889687|Amish Parochial School #5|Elementary|<10|10|||SP|10
2018-2019|882631|Amish Parochial School #6|Elementary|<10|<10|||SP|SP
2018-2019|876364|Amish Parochial School #7|Elementary|<10|15|||SP|15
2018-2019|665285|Amish Parochial school #8|Elementary|15|15|||15|15
2018-2019|877115|An-Noor Private School|Elementary|125|150|||125|150
2018-2019|886428|Apollo High School|Secondary|||<10|<10|SP|SP
2018-2019|885924|Appleby College|Elem/Sec|70|60|320|310|390|370
2018-2019|666009|Applewood Academy|Elem/Sec|<10|<10|<10|<10|15|SP
2018-2019|882456|Applewood Academy and Daycare|Elementary|<10|15|||SP|15
2018-2019|666599|Aristotele's Credit School|Secondary|||70|85|70|85
2018-2019|665719|Arkana Education|Secondary|||<10|<10|SP|SP
2018-2019|880779|Arrowsmith School|Elem/Sec|30|<10|<10|<10|SP|SP
2018-2019|668374|Arrowsmith School Peterborough|Elem/Sec|10|10|<10|<10|SP|SP
2018-2019|665378|Arthur Christian School|Elem/Sec|80|70|<10|<10|SP|SP
2018-2019|667420|Arts and Science Academy of Canada|Elem/Sec|<10|20||<10|SP|SP
2018-2019|876798|As-Sadiq Islamic|Elem/Sec|300|365|30|25|335|395
2018-2019|886297|Ashbury College|Elem/Sec|105|80|275|255|380|335
2018-2019|881729|Aspiration Academy|Elementary|15|<10|||15|SP
2018-2019|889156|Associated Hebrew Schools of Toronto|Elementary|170|140|||170|140
2018-2019|887315|Associated Hebrew Schools of Toronto|Elementary|315|345|||315|345
2018-2019|666610|Astolot Education Centre|Elem/Sec|25|<10|10|<10|35|SP
2018-2019|668383|Astrum Academy|Elementary|<10|<10|||SP|SP
2018-2019|669486|At Last Forest School - Owen Sound|Elementary|25|15|||25|15
2018-2019|665230|At Last Forest School - Port Elgin|Elementary|<10|<10|||SP|SP
2018-2019|667562|At Last Forest School Kincardine|Elementary|20|<10|||20|SP
2018-2019|877212|Attercliffe Canadian Reformed Elementary|Elementary|70|80|||70|80
2018-2019|884995|Aurora Montessori School|Elem/Sec|135|140|||135|140
2018-2019|885099|Aurora Preparatory Academy|Elementary|50|40|||50|40
2018-2019|669532|Autumn Hill Academy|Elementary|35|35|||35|35
2018-2019|666815|Avalon Children's Montessori School|Elementary|30|25|||30|25
2018-2019|663581|Baibombeh Anishinabe School|Elem/Sec|||20|10|20|10
2018-2019|885730|Baig Academy|Secondary|||35|25|35|25
2018-2019|877662|Bais Chaya Mushka|Elementary||245||||245
2018-2019|878774|Bais Chomesh High School for Girls|Secondary||||95||95
2018-2019|888486|Bais Yaakov Elementary School|Elementary||905||||905
2018-2019|887583|Baitul Mukarram Academy - Boys Section|Elementary|<10|25|||SP|25
2018-2019|887316|Balanced Education Network B.E.N. School|Elementary|15|<10|||15|SP
2018-2019|887463|Balsam Grove Parochial|Elementary|15|10|||15|10
2018-2019|876135|Bannockburn School|Elementary|70|50|||70|50
2018-2019|883576|Barrie Montessori & Elementary Private S|Elementary|30|35|||30|35
2018-2019|663670|Batchewana Learning Centre|Secondary|||25|25|25|25
2018-2019|668088|Bay School of Canada|Secondary||||<10||SP
2018-2019|881988|Bayfield School|Elem/Sec|<10|<10|15|<10|SP|SP
2018-2019|887188|Bayview Glen|Elem/Sec|125|120|155|160|280|280
2018-2019|884645|Bayview Glen (Elementary)|Elementary|205|205|||205|205
2018-2019|886319|Beacon Christian Elementary School|Elementary|120|135|||120|135
2018-2019|666670|Beacon House International College|Elem/Sec|<10||<10|<10|SP|SP
2018-2019|666413|Beacon Mile Academy|Secondary|||<10|<10|SP|SP
2018-2019|668904|Beacon of Light Private Elementary Schoo|Elementary|<10|<10|||SP|SP
2018-2019|884634|Beaver Valley Parochial School|Elementary|20|15|||20|15
2018-2019|668367|Beaverbrook Math Academy|Secondary|||25|30|25|30
2018-2019|666432|Behaviour Innovations, Children's Colleg|Elementary|<10|<10|||SP|SP
2018-2019|886521|Belleville District Christian School|Elementary|40|45|||40|45
2018-2019|886209|Belleville Montessori School|Elementary|20|20|||20|20
2018-2019|665087|Bellstone Christian School|Elementary|60|60|||60|60
2018-2019|667602|Berean Baptist Church and Academy|Elem/Sec|<10|<10|<10|<10|SP|SP
2018-2019|882842|Berkeley Academy of Canada|Secondary|||<10|<10|SP|SP
2018-2019|887196|Beth Jacob Private School|Secondary||||240||240
2018-2019|889024|Bethel Baptist Academy|Elem/Sec|<10|<10|<10|<10|15|10
2018-2019|665301|Bethune International Academy|Secondary|||<10|<10|SP|SP
2018-2019|884506|Bethune Memorial School|Secondary|||30|20|30|20
2018-2019|667698|Beyond Montessori School Inc.|Elementary|15|15|||15|15
2018-2019|887200|Bialik Hebrew Day School|Elementary|545|575|||545|575
2018-2019|884706|Bibleway Ministries Christian Learning C|Elementary|<10|15|||SP|15
2018-2019|663816|Biigtigong Nishnaabeg|Secondary|||25|15|25|15
2018-2019|663582|Bimose Community High School|Secondary|||15|20|15|20
2018-2019|885865|Birchas Shmuel|Secondary|||10||10|
2018-2019|665048|Birmingham Academy|Secondary|||<10||SP|
2018-2019|668260|Birmingham Int'l Collegiate of Can|Secondary|||300|280|300|280
2018-2019|883808|Bishop Hamilton Montessori School|Elementary|65|55|||65|55
2018-2019|886840|Bishop Strachan School, The|Elem/Sec||415||485||900
2018-2019|668131|Black Creek Parochial|Elementary|10|<10|||10|SP
2018-2019|888893|Blaisdale Montessori|Elementary|380|345|||380|345
2018-2019|884414|Blue Gene Education|Secondary|||<10|<10|SP|SP
2018-2019|668997|Blue Sky School|Elem/Sec|<10|10|<10|<10|SP|SP
2018-2019|885564|Blueberry Creek Forest School & Nature C|Elementary|20|10|||20|10
2018-2019|887422|Blyth Academy - Burlington|Elem/Sec|<10|<10|35|25|SP|SP
2018-2019|883574|Blyth Academy - Lawrence Park|Secondary|||105|110|105|110
2018-2019|668286|Blyth Academy - London|Secondary|||60|15|60|15
2018-2019|885121|Blyth Academy - Ottawa|Elem/Sec|<10|<10|10|<10|SP|SP
2018-2019|666899|Blyth Academy - Whitby|Secondary|||25|35|25|35
2018-2019|888339|Blyth Academy @ CIHA|Elem/Sec|<10||70||SP|
2018-2019|886220|Blyth Academy Downsview Park|Elem/Sec|20|<10|45|10|65|SP
2018-2019|885111|Blyth Academy Etobicoke|Secondary|||30|20|30|20
2018-2019|666976|Blyth Academy Global High School|Secondary|||20|30|20|30
2018-2019|883890|Blyth Academy Mississauga - Adamson|Secondary|||90|55|90|55
2018-2019|882941|Blyth Academy Mississauga - Cawthra|Elem/Sec|10|<10|15|<10|25|SP
2018-2019|884824|Blyth Academy Online|Secondary|||565|595|565|595
2018-2019|882760|Blyth Academy Ottawa Upper School|Secondary|||45|45|45|45
2018-2019|666143|Blyth Academy Thornhill|Secondary|||35|35|35|35
2018-2019|665314|Blyth Academy Waterloo|Secondary|||15|20|15|20
2018-2019|665072|Blyth Academy Whitby Middle School|Elementary|10|<10|||10|SP
2018-2019|666580|Blyth Academy Yorkville|Secondary|||65|50|65|50
2018-2019|881671|Blytheswood Community Christian School|Elem/Sec|95|85|<10|<10|SP|SP
2018-2019|888885|Bnei Akiva School - Ulpanat Orot|Secondary||||120||120
2018-2019|883749|Bnei Akiva School - Yeshivat Or Chaim|Secondary|||125||125|
2018-2019|878766|Bnos Bais Yaakov High School|Secondary||||105||105
2018-2019|668326|Bnos Chaya|Elementary||140||||140
2018-2019|665690|Bond Academy|Elem/Sec|80|65|20|<10|100|SP
2018-2019|879059|Bond Canadian Academy-Yinchuan|Secondary|||15|<10|15|SP
2018-2019|883417|Bond International College|Secondary|||120|85|120|85
2018-2019|881534|Bonnechere Valley|Elementary|10|15|||10|15
2018-2019|879363|Boren Sino-Canadian School|Secondary|||145|115|145|115
2018-2019|882190|Brackendale Montessori|Elementary|55|55|||55|55
2018-2019|876909|Braemar College|Secondary|||205|170|205|170
2018-2019|877450|Braemar House School|Elementary|55|55|||55|55
2018-2019|669461|Brainiacs Academy|Secondary|||<10|<10|SP|SP
2018-2019|669078|Brainstorm Academy|Secondary|||<10|<10|SP|SP
2018-2019|889814|Brampton Christian School|Elem/Sec|230|210|115|95|345|300
2018-2019|886912|Branksome Hall|Elem/Sec||455||455||910
2018-2019|885193|Brantford Christian School|Elementary|130|125|||130|125
2018-2019|665026|Bravo Education Centre|Elementary|45|35|||45|35
2018-2019|882314|Bridge International School|Elem/Sec|<10|<10|<10|<10|10|SP
2018-2019|669755|Bright Start Academy|Elem/Sec|<10|<10|<10||10|SP
2018-2019|883674|BrightMinds Online School|Elem/Sec|<10|<10|10|15|SP|SP
2018-2019|885664|Brighter Dewey Online School|Elem/Sec|<10|<10|<10|<10|10|10
2018-2019|667145|Brighton|Elem/Sec|30|15|15|<10|45|SP
2018-2019|881976|Brock Elementary School|Elementary|35|45|||35|45
2018-2019|669584|Bronston Canadian Academy|Elem/Sec|10|10|20|<10|30|SP
2018-2019|875112|Bronte College|Secondary|||215|170|215|170
2018-2019|889784|Brooke Valley School|Elementary|10|<10|||10|SP
2018-2019|666831|Brooklin Mill Montessori School Inc|Elementary|35|45|||35|45
2018-2019|667560|Brooklyn College|Secondary|||75|70|75|70
2018-2019|883107|Brookside Christian School|Elem/Sec|20|25|<10|<10|SP|SP
2018-2019|888168|Brookside Parochial School|Elementary|15|20|||15|20
2018-2019|883755|Brown Academy|Secondary|||<10|<10|SP|SP
2018-2019|665400|Brussels Old Colony Christian School|Elementary|35|40|||35|40
2018-2019|889040|Burlington Christian Academy|Elementary|100|80|||100|80
2018-2019|665387|Burlington Royal Arts Academy|Secondary|||<10|<10|SP|SP
2018-2019|667951|Byron Woods Montessori|Elementary|20|15|||20|15
2018-2019|669071|C.E. Academy|Elementary|<10|<10|||SP|SP
2018-2019|882886|CANNY|Secondary|||<10|<10|SP|SP
2018-2019|669618|CYN Jewish Academy|Secondary|||25|30|25|30
2018-2019|884804|Cairn Christian School – Smithville|Elementary|125|105|||125|105
2018-2019|886378|Cairn Christian School – Stoney Creek|Elementary|105|85|||105|85
2018-2019|882720|Calton Christian School|Elem/Sec|25|15|<10|<10|SP|SP
2018-2019|878260|Calvary Christian Academy|Elem/Sec|70|55|20|20|90|70
2018-2019|881783|Calvary Christian School|Elementary|80|100|||80|100
2018-2019|885509|Calvin Christian School|Elementary|250|250|||250|250
2018-2019|666360|Cambridge Academy - Markham|Secondary|||<10|<10|SP|SP
2018-2019|887862|Cambridge Christian Elementary School|Elementary|115|125|||115|125
2018-2019|889979|Cambridge International Academy|Elem/Sec|<10||30|10|SP|10
2018-2019|666590|Can-AIM High School|Secondary|||25|15|25|15
2018-2019|666467|Canada Christian Academy|Elem/Sec|<10|10|<10|<10|10|SP
2018-2019|666769|Canada International College|Elem/Sec|||75|70|75|70
2018-2019|667745|Canada Knowledge Academy|Elementary|<10|<10|||SP|SP
2018-2019|666015|Canada Online Academy|Secondary|||<10|<10|SP|SP
2018-2019|886512|Canada Online School|Secondary|||<10||SP|
2018-2019|665694|Canada Spruceville Academy|Secondary|||<10|<10|SP|SP
2018-2019|668700|Canada Syringa International College|Secondary|||<10|<10|SP|SP
2018-2019|886476|Canada TEMS Academy|Secondary|||<10|<10|SP|SP
2018-2019|666211|Canada eSchool|Secondary|||<10|<10|SP|SP
2018-2019|886980|Canada's National Ballet|Elem/Sec|25|50|45|50|65|100
2018-2019|669784|Canadian Academy of Secondary Studies|Secondary|||<10|<10|SP|SP
2018-2019|882214|Canadian Advanced Senior High|Secondary|||<10|<10|SP|SP
2018-2019|668924|Canadian Christian Academy|Elem/Sec|25|20|15|15|40|35
2018-2019|879142|Canadian College Italy|Secondary|||<10|15|SP|15
2018-2019|882768|Canadian Higher Learning Academy|Secondary|||<10|<10|SP|SP
2018-2019|666045|Canadian Imperial Academy|Secondary|||<10|<10|SP|SP
2018-2019|882181|Canadian Independent College|Secondary|||25|20|25|20
2018-2019|879134|Canadian Int'l School of Hong Kong|Secondary|||225|240|225|240
2018-2019|879304|Canadian International School of Egypt|Secondary|||175|145|175|145
2018-2019|665046|Canadian Tamil Academy|Secondary|||10|<10|10|SP
2018-2019|886930|Canadian Top Science Academy|Elem/Sec|||35|25|35|25
2018-2019|879282|Canadian Trillium College - Nanjing|Secondary|||45|25|45|25
2018-2019|879724|Canadian Trillium College-Jinhua|Secondary|||40|55|40|55
2018-2019|879247|Canadian Trillium College-Shanghai|Secondary|||50|45|50|45
2018-2019|669676|Canadians Private School|Secondary|||<10||SP|
2018-2019|665446|Canstem Education Private School|Elem/Sec|<10||<10|<10|10|SP
2018-2019|882374|Capital International Academy School|Secondary|||30|35|30|35
2018-2019|668407|CareerQuest - Brampton|Secondary|||<10||SP|
2018-2019|668752|CareerQuest - Vaughan|Secondary|||<10|<10|SP|SP
2018-2019|879266|Caribbean International Academy|Secondary|||45|50|45|50
2018-2019|668855|Carlton Prep Academy|Secondary|||<10|<10|SP|SP
2018-2019|886653|Carmel New Church School|Elementary|15|20|||15|20
2018-2019|665667|Castlemore Schools Foundation|Elementary|20|20|||20|20
2018-2019|668792|Cedar Echo Parochial School|Elementary|10|15|||10|15
2018-2019|887439|Cedar Grove Christian Day School|Elementary|20|20|||20|20
2018-2019|882985|Cedar Heights Parochial School|Elementary|15|15|||15|15
2018-2019|880639|Cedar Springs Parochial School|Elementary|20|15|||20|15
2018-2019|880334|Cedar Valley School|Elem/Sec|15|10||<10|15|SP
2018-2019|669257|Cedarvale Christian School|Elem/Sec|15|25|<10|<10|SP|SP
2018-2019|882412|Cedarville Breezes Parochial School|Elementary|15|10|||15|10
2018-2019|880094|Central Baptist Academy|Elementary|95|100|||95|100
2018-2019|877727|Central Montessori Schools|Elementary|265|255|||265|255
2018-2019|877883|Centre Kinloss Parochial School|Elementary|10|10|||10|10
2018-2019|665166|Century Private School|Elementary|55|45|||55|45
2018-2019|669694|Century Private School HS|Secondary|||35|10|35|10
2018-2019|885635|Cestar High School|Secondary|||<10||SP|
2018-2019|882672|Charing Cross Christian School|Elementary|35|25|||35|25
2018-2019|885282|Chatham Christian|Elementary|125|120|||125|120
2018-2019|888540|Chatham Christian High School|Secondary|||35|30|35|30
2018-2019|669918|Chesterton Academy of Ottawa|Secondary|||<10|<10|SP|SP
2018-2019|663360|Chief Simeon McKay Education Centre|Elem/Sec|||40|30|40|30
2018-2019|877824|Children's Garden Junior School|Elementary|50|25|||50|25
2018-2019|878847|Children's House Montessori, The|Elementary|15|15|||15|15
2018-2019|878138|Children's Montessori School, The|Elementary|40|60|||40|60
2018-2019|888699|Chisholm Academy|Elem/Sec|35|<10|60|15|90|SP
2018-2019|881375|Christadelphian Heritage College|Elementary|15|25|||15|25
2018-2019|888612|Church of God Christian|Elem/Sec|20|20|15|20|35|35
2018-2019|878758|City Academy|Secondary|||40|30|40|30
2018-2019|885329|City High School|Secondary|||<10|<10|SP|SP
2018-2019|877921|Clanmore Montessori School|Elementary|90|80|||90|80
2018-2019|883818|Claremont School, The|Elementary|35|30|||35|30
2018-2019|669223|Clarke Christian Montessori Academy|Elementary|15|<10|||15|SP
2018-2019|888176|Clear View Private School|Elementary|15|<10|||15|SP
2018-2019|886246|Clearview Parochial|Elementary|20|15|||20|15
2018-2019|885627|Clifford Amish Parochial #2|Elementary|<10|<10|||SP|SP
2018-2019|665509|Clifford Amish Parochial No 1|Elementary|10|<10|||10|SP
2018-2019|665597|Clinton International College|Secondary|||15|15|15|15
2018-2019|668898|Cobden Corner's Parochial School|Elementary|10|15|||10|15
2018-2019|876682|Colin MacDonald Alternative School|Elementary|20|10|||20|10
2018-2019|887552|College Park Elementary School|Elementary|90|80|||90|80
2018-2019|880183|Columbia International College of Canada|Elem/Sec|10|10|1,040|850|1,050|865
2018-2019|879061|Columbia International School of Japan|Secondary|||30|35|30|35
2018-2019|885380|Community Christian School|Elementary|45|45|||45|45
2018-2019|881198|Community Christian School|Elementary|55|25|||55|25
2018-2019|669150|Community Life Christian School|Elem/Sec|<10|10||<10|SP|SP
2018-2019|888319|Concord College of Canada|Secondary|||20|10|20|10
2018-2019|882508|Convoy International Secondary Academy|Secondary|||30|10|30|10
2018-2019|877832|Corinth Christian School|Elem/Sec|20|20|<10|<10|SP|SP
2018-2019|669233|Cornell International Academy|Secondary|||<10|<10|SP|SP
2018-2019|886395|Cornerstone Christian School|Elementary|50|45|||50|45
2018-2019|880825|Cornerstone Christian School|Elem/Sec|15|15|<10||SP|15
2018-2019|880770|Cornerstone Montessori Prep School - Don|Elem/Sec|30|15|||30|15
2018-2019|875376|Cornerstone Preparatory - Main|Elem/Sec|35|25|15|10|50|35
2018-2019|884921|Country Echoes Parochial School|Elementary|<10|<10|||SP|SP
2018-2019|877425|Country Garden Montessori Academy|Elem/Sec|35|30|15|20|50|45
2018-2019|889741|Countryside Christian School|Elem/Sec|70|50|20|20|95|70
2018-2019|876550|Countryside Montessori Private School|Elementary|45|45|||45|45
2018-2019|668636|Covenant Central Academy|Secondary|||100|55|100|55
2018-2019|889318|Covenant Christian School|Elementary|85|75|||85|75
2018-2019|882947|Crawford Adventist Academy (East Campus)|Elementary|40|35|||40|35
2018-2019|887293|Crawford Adventist Academy -Secondary|Elem/Sec|100|115|60|45|155|160
2018-2019|880809|Credo Christian School|Elementary|15|20|||15|20
2018-2019|878405|Creek Bank Parochial|Elementary|<10|<10|||SP|SP
2018-2019|887161|Crescent School, The|Elem/Sec|360||435||795|
2018-2019|665266|Crestwood Preparatory College Inc.|Elem/Sec|85|30|245|145|330|175
2018-2019|881570|Crestwood School|Elementary|190|125|||190|125
2018-2019|881305|Croton Christian Day School|Elem/Sec|15|15|<10|<10|SP|SP
2018-2019|882866|Crown Academy|Secondary|||35|15|35|15
2018-2019|665635|Crown Academy (Scarborough)|Secondary|||<10|<10|SP|SP
2018-2019|668728|Dalton School, The|Elementary|40|30|||40|30
2018-2019|889900|Darul Arqam Islamic Academy|Elementary|20|<10|||20|SP
2018-2019|880921|Darul-Uloom Canada - Chatham|Elem/Sec|25|10|20||45|10
2018-2019|668888|Darwin International Academy|Secondary|||<10|<10|SP|SP
2018-2019|882053|Daryk High School (DH School)|Secondary||||<10||SP
2018-2019|886320|Dayspring Christian School|Elem/Sec|20|15|<10|<10|SP|SP
2018-2019|886939|De La Salle College|Elem/Sec|110|115|210|240|325|355
2018-2019|666168|Dearcroft Montessori School|Elementary|70|90|||70|90
2018-2019|666890|Debbie Campbell Learning Academy|Secondary|||<10|<10|SP|SP
2018-2019|663344|Deer Lake First Nations|Elem/Sec|||10|<10|10|SP
2018-2019|884533|Delano Academy|Elem/Sec|40|15|<10||SP|15
2018-2019|879037|Delia School of Canada|Secondary|||120|120|120|120
2018-2019|667072|Delores D. Echum Composite|Elem/Sec|||50|50|50|50
2018-2019|667561|Delta Academy Inc|Secondary|||40|80|40|80
2018-2019|663921|Dennis Franklin Cromarty High School|Secondary|||50|65|50|65
2018-2019|669640|Deran Academy|Secondary|||35|25|35|25
2018-2019|882606|Destiny Christian Academy|Elementary|30|30|||30|30
2018-2019|666130|Deutsche Schule Toronto|Elem/Sec|40|30||<10|40|SP
2018-2019|668563|Dewey College|Elem/Sec|<10|<10|25|<10|SP|15
2018-2019|666071|Dewey Institute|Secondary|||<10|<10|SP|SP
2018-2019|884239|Discipleship Christian Secondary|Secondary|||15|20|15|20
2018-2019|886754|Discovering Minds Montessori Preschool I|Elementary|20|10|||20|10
2018-2019|884964|Discovery Academy Inc|Elem/Sec|30|30|95|60|125|85
2018-2019|666270|Don Valley Academy|Secondary|||35|35|35|35
2018-2019|877166|Donegal Community Christian School|Elem/Sec|35|40|<10|<10|SP|SP
2018-2019|885348|Dora Education Centre|Elementary|25|20|||25|20
2018-2019|665274|Dragon Academy, The|Elem/Sec|15|<10|30|15|45|SP
2018-2019|884553|Dresden Private Mennonite School|Elementary|100|85|||100|85
2018-2019|887714|Dufferin Area Christian School|Elementary|60|60|||60|60
2018-2019|884263|Duke Academy|Secondary|||<10|<10|SP|SP
2018-2019|887951|Dunblaine School, The|Elementary|20|<10|||20|SP
2018-2019|667206|Duncan Academy, The|Secondary|||55|25|55|25
2018-2019|669699|Dundas Valley Montessori School|Elementary|55|55|||55|55
2018-2019|888575|Dunnville Christian Private Elementary|Elementary|95|70|||95|70
2018-2019|885343|Duowei Education Centre|Elem/Sec|25|15|<10|<10|SP|SP
2018-2019|880448|Durham Academy|Secondary|||<10|<10|SP|SP
2018-2019|887544|Durham Christian High School|Secondary|||50|55|50|55
2018-2019|668038|Durham Elementary Private School|Elementary|45|45|||45|45
2018-2019|884452|ELPIS COLLEGE TORONTO|Secondary|||25|20|25|20
2018-2019|885122|ETON Academy|Secondary|||30|30|30|30
2018-2019|885597|Eagles' Nest Christian Academy|Elem/Sec|<10|<10|<10||SP|SP
2018-2019|885860|East Dorking Parochial School|Elementary|20|20|||20|20
2018-2019|887560|East Heidelberg Parochial School|Elementary|20|15|||20|15
2018-2019|882251|Eastern Canada High School|Elem/Sec|||<10|10|SP|10
